Sample number	SRA sample ID	SRA run ID	BioProject ID	Library layout	ENA fq URL 1	ENA fq URL 2	SRA URL	Source name	Tissue/cell type	Age	Sex
14	SRS4274451	SRR8467786	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467786/SRR8467786_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467786/SRR8467786_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467786.sralite.1	unknown/not stated	liver	18Mo	male
15	SRS4274450	SRR8467787	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467787/SRR8467787_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467787/SRR8467787_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467787.sralite.1	unknown/not stated	liver	27Mo	male
16	SRS4274449	SRR8467788	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467788/SRR8467788_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467788/SRR8467788_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467788.sralite.1	unknown/not stated	liver	27Mo	male
17	SRS4274448	SRR8467789	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467789/SRR8467789_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467789/SRR8467789_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467789.sralite.1	unknown/not stated	liver	27Mo	male
18	SRS4274447	SRR8467790	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467790/SRR8467790_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467790/SRR8467790_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467790.sralite.1	unknown/not stated	liver	27Mo	male
19	SRS4274446	SRR8467791	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467791/SRR8467791_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467791/SRR8467791_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467791.sralite.1	unknown/not stated	liver	21Mo	male
20	SRS4274445	SRR8467792	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467792/SRR8467792_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467792/SRR8467792_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467792.sralite.1	unknown/not stated	liver	21Mo	male
21	SRS4274444	SRR8467793	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467793/SRR8467793_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467793/SRR8467793_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467793.sralite.1	unknown/not stated	liver	27Mo	male
22	SRS4274443	SRR8467794	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467794/SRR8467794_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467794/SRR8467794_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467794.sralite.1	unknown/not stated	liver	24Mo	male
23	SRS4274442	SRR8467795	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467795/SRR8467795_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467795/SRR8467795_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467795.sralite.1	unknown/not stated	liver	18Mo	male
24	SRS4274441	SRR8467796	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467796/SRR8467796_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467796/SRR8467796_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467796.sralite.1	unknown/not stated	liver	18Mo	male
25	SRS4274440	SRR8467797	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467797/SRR8467797_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467797/SRR8467797_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467797.sralite.1	unknown/not stated	liver	12Mo	male
26	SRS4274439	SRR8467798	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467798/SRR8467798_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467798/SRR8467798_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467798.sralite.1	unknown/not stated	liver	12Mo	male
27	SRS4274438	SRR8467799	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467799/SRR8467799_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467799/SRR8467799_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467799.sralite.1	unknown/not stated	liver	12Mo	male
28	SRS4274437	SRR8467800	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467800/SRR8467800_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467800/SRR8467800_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467800.sralite.1	unknown/not stated	liver	12Mo	male
29	SRS4274436	SRR8467801	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467801/SRR8467801_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467801/SRR8467801_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467801.sralite.1	unknown/not stated	liver	12Mo	male
30	SRS4274435	SRR8467802	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467802/SRR8467802_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467802/SRR8467802_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467802.sralite.1	unknown/not stated	liver	12Mo	male
31	SRS4274434	SRR8467803	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467803/SRR8467803_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467803/SRR8467803_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467803.sralite.1	unknown/not stated	liver	12Mo	male
32	SRS4274433	SRR8467804	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467804/SRR8467804_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467804/SRR8467804_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467804.sralite.1	unknown/not stated	liver	12Mo	male
33	SRS4274432	SRR8467805	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467805/SRR8467805_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467805/SRR8467805_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467805.sralite.1	unknown/not stated	liver	27Mo	male
34	SRS4274431	SRR8467806	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467806/SRR8467806_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467806/SRR8467806_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467806.sralite.1	unknown/not stated	liver	9Mo	male
35	SRS4274430	SRR8467807	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467807/SRR8467807_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467807/SRR8467807_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467807.sralite.1	unknown/not stated	liver	9Mo	male
36	SRS4274429	SRR8467808	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467808/SRR8467808_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467808/SRR8467808_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467808.sralite.1	unknown/not stated	liver	9Mo	male
37	SRS4274428	SRR8467809	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467809/SRR8467809_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467809/SRR8467809_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467809.sralite.1	unknown/not stated	liver	6Mo	male
38	SRS4274427	SRR8467810	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467810/SRR8467810_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467810/SRR8467810_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467810.sralite.1	unknown/not stated	liver	6Mo	male
39	SRS4274426	SRR8467811	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467811/SRR8467811_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467811/SRR8467811_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467811.sralite.1	unknown/not stated	liver	6Mo	male
40	SRS4274425	SRR8467812	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467812/SRR8467812_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467812/SRR8467812_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467812.sralite.1	unknown/not stated	liver	6Mo	male
41	SRS4274424	SRR8467813	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467813/SRR8467813_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467813/SRR8467813_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467813.sralite.1	unknown/not stated	liver	6Mo	male
42	SRS4274423	SRR8467814	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467814/SRR8467814_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467814/SRR8467814_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467814.sralite.1	unknown/not stated	liver	9Mo	male
43	SRS4274422	SRR8467815	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467815/SRR8467815_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467815/SRR8467815_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467815.sralite.1	unknown/not stated	liver	6Mo	male
44	SRS4274421	SRR8467816	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467816/SRR8467816_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467816/SRR8467816_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467816.sralite.1	unknown/not stated	liver	6Mo	male
45	SRS4274420	SRR8467817	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467817/SRR8467817_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467817/SRR8467817_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467817.sralite.1	unknown/not stated	liver	24Mo	male
46	SRS4274419	SRR8467818	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467818/SRR8467818_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467818/SRR8467818_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467818.sralite.1	unknown/not stated	liver	24Mo	male
47	SRS4274418	SRR8467819	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467819/SRR8467819_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467819/SRR8467819_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467819.sralite.1	unknown/not stated	liver	21Mo	male
48	SRS4274417	SRR8467820	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467820/SRR8467820_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467820/SRR8467820_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467820.sralite.1	unknown/not stated	liver	21Mo	male
49	SRS4274416	SRR8467821	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467821/SRR8467821_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467821/SRR8467821_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467821.sralite.1	unknown/not stated	liver	21Mo	male
50	SRS4274415	SRR8467822	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467822/SRR8467822_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467822/SRR8467822_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467822.sralite.1	unknown/not stated	liver	21Mo	male
51	SRS4274414	SRR8467823	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467823/SRR8467823_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467823/SRR8467823_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467823.sralite.1	unknown/not stated	liver	24Mo	male
52	SRS4274413	SRR8467824	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467824/SRR8467824_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467824/SRR8467824_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467824.sralite.1	unknown/not stated	liver	24Mo	male
53	SRS4274412	SRR8467825	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467825/SRR8467825_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467825/SRR8467825_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467825.sralite.1	unknown/not stated	liver	24Mo	male
54	SRS4274411	SRR8467826	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467826/SRR8467826_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467826/SRR8467826_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/467/SRR8467826.sralite.1	unknown/not stated	liver	24Mo	male
55	SRS4274410	SRR8467827	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467827/SRR8467827_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467827/SRR8467827_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467827.sralite.1	unknown/not stated	liver	27Mo	male
56	SRS4322543	SRR8524928	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/008/SRR8524928/SRR8524928_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/008/SRR8524928/SRR8524928_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/524/SRR8524928.sralite.1	unknown/not stated	Gastrocnemius	6Mo	male
57	SRS4322542	SRR8524929	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/009/SRR8524929/SRR8524929_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/009/SRR8524929/SRR8524929_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/524/SRR8524929.sralite.1	unknown/not stated	Gastrocnemius	6Mo	male
58	SRS4322541	SRR8524930	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/000/SRR8524930/SRR8524930_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/000/SRR8524930/SRR8524930_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/524/SRR8524930.sralite.1	unknown/not stated	Gastrocnemius	27Mo	male
59	SRS4322540	SRR8524931	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/001/SRR8524931/SRR8524931_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR852/001/SRR8524931/SRR8524931_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/524/SRR8524931.sralite.1	unknown/not stated	Gastrocnemius	27Mo	male
